mp-id;formula;cations;valences;CNs
mp-20525;CuSO4;['S', 'S', 'S', 'S', 'Cu', 'Cu', 'Cu', 'Cu'];[6, 6, 6, 6, 2, 2, 2, 2];['4', '4', '4', '4', '6', '6', '6', '6']
mp-560670;MgSeO4;['Mg', 'Mg', 'Mg', 'Mg', 'Se', 'Se', 'Se', 'Se'];[2, 2, 2, 2, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4']
mp-5126;ZnSO4;['S', 'S', 'S', 'S', 'Zn', 'Zn', 'Zn', 'Zn'];[6, 6, 6, 6, 2, 2, 2, 2];['4', '4', '4', '4', '6', '6', '6', '6']
mp-25050;MnSeO4;['Mn', 'Mn', 'Mn', 'Mn', 'Se', 'Se', 'Se', 'Se'];[2, 2, 2, 2, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4']
mp-4967;MgSO4;['Mg', 'Mg', 'Mg', 'Mg', 'S', 'S', 'S', 'S'];[2, 2, 2, 2, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4']
mp-22569;InPO4;['P', 'P', 'P', 'P', 'In', 'In', 'In', 'In'];[5, 5, 5, 5, 3, 3, 3, 3];['4', '4', '4', '4', '6', '6', '6', '6']
mp-554040;CuSeO4;['Cu', 'Cu', 'Cu', 'Cu', 'Se', 'Se', 'Se', 'Se'];[2, 2, 2, 2, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4']
mp-19077;CrAsO4;['Cr', 'Cr', 'Cr', 'Cr', 'As', 'As', 'As', 'As'];[3, 3, 3, 3, 5, 5, 5, 5];['6', '6', '6', '6', '4', '4', '4', '4']
mp-7000;SiO2;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-6922;SiO2;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-560151;AlPO4;['Al', 'Al', 'Al', 'P', 'P', 'P'];[3, 3, 3, 5, 5, 5];['4', '4', '4', '4', '4', '4']
mp-5189;AlAsO4;['Al', 'Al', 'Al', 'As', 'As', 'As'];[3, 3, 3, 5, 5, 5];['4', '4', '4', '4', '4', '4']
mp-5331;AlPO4;['Al', 'Al', 'Al', 'P', 'P', 'P'];[3, 3, 3, 5, 5, 5];['4', '4', '4', '4', '4', '4']
mp-10851;SiO2;['Si', 'Si', 'Si'];[4, 4, 4];['4', '4', '4']
mp-3955;AlPO4;['Al', 'Al', 'Al', 'P', 'P', 'P'];[3, 3, 3, 5, 5, 5];['4', '4', '4', '4', '4', '4']
mp-25006;MnSO4;['S', 'S', 'Mn', 'Mn'];[6, 6, 2, 2];['4', '4', '6', '6']
mp-565794;MnSeO4;['Mn', 'Mn', 'Se', 'Se'];[2, 2, 6, 6];['6', '6', '4', '4']
mp-18835;VPO4;['P', 'P', 'V', 'V'];[5, 5, 3, 3];['4', '4', '6', '6']
mp-18906;CrPO4;['P', 'P', 'Cr', 'Cr'];[5, 5, 3, 3];['4', '4', '6', '6']
mp-7566;InPO4;['P', 'P', 'In', 'In'];[5, 5, 3, 3];['4', '4', '6', '6']
mp-7572;MgSO4;['Mg', 'Mg', 'S', 'S'];[2, 2, 6, 6];['6', '6', '4', '4']
mp-565466;NaV(SO4)2;['Na', 'V', 'S', 'S'];[1, 3, 6, 6];['6', '6', '4', '4']
mp-18937;V2O3;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-19399;Cr2O3;['Cr', 'Cr', 'Cr', 'Cr'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-17841;Mg4Nb2O9;['Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Mg', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 2, 2, 2, 2, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-458;Ti2O3;['Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-19082;TiMnO3;['Ti', 'Ti', 'Mn', 'Mn'];[4, 4, 2, 2];['6', '6', '6', '6']
mp-715514;V2O3;['V', 'V', 'V', 'V'];[3, 3, 3, 3];['6', '6', '6', '6']
mp-3771;MgTiO3;['Mg', 'Mg', 'Ti', 'Ti'];[2, 2, 4, 4];['6', '6', '6', '6']
mp-9595;NbInO4;['Nb', 'Nb', 'In', 'In'];[5, 5, 3, 3];['6', '6', '6', '6']
mp-17953;MgNb2O6;['Mg', 'Mg', 'Mg', 'Mg', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-19455;MnMoO4;['Mn', 'Mn', 'Mo', 'Mo'];[2, 2, 6, 6];['6', '6', '6', '6']
mp-17177;Nb2ZnO6;['Zn', 'Zn', 'Zn', 'Zn', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-12978;SnO2;['Sn', 'Sn', 'Sn', 'Sn'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-640524;MnNb2O6;['Mn', 'Mn', 'Mn', 'Mn', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[2, 2, 2, 2, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6']
mp-6945;SiO2;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-8059;SiO2;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4']
mp-4051;AlPO4;['Al', 'Al', 'P', 'P'];[3, 3, 5, 5];['4', '4', '4', '4']
mp-5046;BeSO4;['Be', 'S'];[2, 6];['4', '4']
mp-556961;SiO2;['Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4']
mp-8352;SiO2;['Si', 'Si'];[4, 4];['4', '4']
mp-3653;Mg(SbO3)2;['Mg', 'Mg', 'Sb', 'Sb', 'Sb', 'Sb'];[2, 2, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6']
mp-5831;Cu(SbO3)2;['Cu', 'Cu', 'Sb', 'Sb', 'Sb', 'Sb'];[2, 2, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6']
mp-24917;Cr2TeO6;['Cr', 'Cr', 'Cr', 'Cr', 'Te', 'Te'];[3, 3, 3, 3, 6, 6];['6', '6', '6', '6', '6', '6']
mp-28931;Ga2TeO6;['Ga', 'Ga', 'Ga', 'Ga', 'Te', 'Te'];[3, 3, 3, 3, 6, 6];['6', '6', '6', '6', '6', '6']
mp-3188;Zn(SbO3)2;['Zn', 'Zn', 'Sb', 'Sb', 'Sb', 'Sb'];[2, 2, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6']
mp-28447;Mg(BiO3)2;['Mg', 'Mg', 'Bi', 'Bi', 'Bi', 'Bi'];[2, 2, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6']
mp-541567;VSbO4;['V', 'V', 'Sb', 'Sb'];[3, 3, 5, 5];['6', '6', '6', '6']
mp-470;GeO2;['Ge', 'Ge'];[4, 4];['6', '6']
mp-856;SnO2;['Sn', 'Sn'];[4, 4];['6', '6']
mp-19177;CrO2;['Cr', 'Cr'];[4, 4];['6', '6']
mp-550172;SnO2;['Sn', 'Sn'];[4, 4];['6', '6']
mp-554944;TiSO5;['Ti', 'Ti', 'Ti', 'Ti', 'S', 'S', 'S', 'S'];[4, 4, 4, 4, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4']
mp-542453;NbPO5;['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4']
mp-559283;TiSO5;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S', 'S'];[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
mp-556918;NbPO5;['Nb', 'Nb', 'Nb', 'Nb', 'P', 'P', 'P', 'P'];[5, 5, 5, 5, 5, 5, 5, 5];['6', '6', '6', '6', '4', '4', '4', '4']
mp-5803;NbPO5;['P', 'P', 'P', 'P', 'Nb', 'Nb', 'Nb', 'Nb'];[5, 5, 5, 5, 5, 5, 5, 5];['4', '4', '4', '4', '6', '6', '6', '6']
mp-15560;Ga(PO3)3;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga', 'Ga'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6']
mp-542766;Mo(PO3)3;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6']
mp-541532;Cr(PO3)3;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr', 'Cr'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6']
mp-14535;In(PO3)3;['P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'In', 'In', 'In', 'In', 'In', 'In'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6', '6', '6']
mp-18721;Mn2P2O7;['P', 'P', 'Mn', 'Mn'];[5, 5, 2, 2];['4', '4', '6', '6']
mp-2874;In2Si2O7;['Si', 'Si', 'In', 'In'];[4, 4, 3, 3];['4', '4', '6', '6']
mp-5427;Mg2P2O7;['Mg', 'Mg', 'P', 'P'];[2, 2, 5, 5];['6', '6', '4', '4']
mp-19290;Mn2As2O7;['Mn', 'Mn', 'As', 'As'];[2, 2, 5, 5];['6', '6', '4', '4']
mp-558582;In(PO3)3;['In', 'In', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 5, 5, 5, 5, 5, 5];['6', '6', '4', '4', '4', '4', '4', '4']
mp-25154;V(PO3)3;['P', 'P', 'P', 'P', 'P', 'P', 'V', 'V'];[5, 5, 5, 5, 5, 5, 3, 3];['4', '4', '4', '4', '4', '4', '6', '6']
mp-566776;Cr(PO3)3;['Cr', 'Cr', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 5, 5, 5, 5, 5, 5];['6', '6', '4', '4', '4', '4', '4', '4']
mp-566761;Cr(PO3)3;['Cr', 'Cr', 'P', 'P', 'P', 'P', 'P', 'P'];[3, 3, 5, 5, 5, 5, 5, 5];['6', '6', '4', '4', '4', '4', '4', '4']
mp-16140;Na3TiP8O23;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Ti', 'Ti', 'Ti', 'Ti'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-14390;Na3GaP8O23;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Ga', 'Ga', 'Ga', 'Ga'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-24903;Na3CrP8O23;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'Cr', 'Cr', 'Cr', 'Cr'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-25116;Na3VP8O23;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'P', 'V', 'V', 'V', 'V'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 3, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-13725;Li3PO4;['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'P', 'P'];[1, 1, 1, 1, 1, 1, 5, 5];['4', '4', '4', '4', '4', '4', '4', '4']
mp-9197;Li3AsO4;['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'As', 'As'];[1, 1, 1, 1, 1, 1, 5, 5];['4', '4', '4', '4', '4', '4', '4', '4']
mp-2542;BeO;['Be', 'Be'];[2, 2];['4', '4']
mp-8070;Li2BeSiO4;['Li', 'Li', 'Li', 'Li', 'Be', 'Be', 'Si', 'Si'];[1, 1, 1, 1, 2, 2, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4']
mp-19361;Cr2(SO4)3;['S', 'S', 'S', 'S', 'S', 'S', 'Cr', 'Cr', 'Cr', 'Cr'];[6, 6, 6, 6, 6, 6, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '6', '6', '6', '6']
mp-541451;Ga2(SO4)3;['Ga', 'Ga', 'Ga', 'Ga', 'S', 'S', 'S', 'S', 'S', 'S'];[3, 3, 3, 3, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4']
mp-541450;In2(SO4)3;['In', 'In', 'In', 'In', 'S', 'S', 'S', 'S', 'S', 'S'];[3, 3, 3, 3, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4']
mp-1265;MgO;['Mg'];[2];['6']
mp-27345;Na3BiO4;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Bi', 'Bi'];[1, 1, 1, 1, 1, 1, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6']
mp-7404;Na3SbO4;['Na', 'Na', 'Na', 'Na', 'Na', 'Na', 'Sb', 'Sb'];[1, 1, 1, 1, 1, 1, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6']
mp-561637;VO2;['V', 'V', 'V', 'V'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-554278;TiO2;['Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 4, 4];['6', '6', '6', '6']
mp-7601;NbGaO4;['Ga', 'Ga', 'Nb', 'Nb'];[3, 3, 5, 5];['6', '6', '6', '6']
mp-7648;SiO2;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-555891;SiO2;['Si', 'Si', 'Si', 'Si'];[4, 4, 4, 4];['4', '4', '4', '4']
mp-5724;AlPO4;['Al', 'Al', 'P', 'P'];[3, 3, 5, 5];['4', '4', '4', '4']
mp-559691;Ca2Al2SiO7;['Ca', 'Ca', 'Ca', 'Ca', 'Al', 'Al', 'Al', 'Al', 'Si', 'Si'];[2, 2, 2, 2, 3, 3, 3, 3, 4, 4];['8', '8', '8', '8', '4', '4', '4', '4', '4', '4']
mp-6655;Y2Be2SiO7;['Be', 'Be', 'Be', 'Be', 'Si', 'Si', 'Y', 'Y', 'Y', 'Y'];[2, 2, 2, 2, 4, 4, 3, 3, 3, 3];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-6208;Ca2BeSi2O7;['Be', 'Be', 'Si', 'Si', 'Si', 'Si', 'Ca', 'Ca', 'Ca', 'Ca'];[2, 2, 4, 4, 4, 4, 2, 2, 2, 2];['4', '4', '4', '4', '4', '4', '8', '8', '8', '8']
mp-3347;Be2SiO4;['Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Be', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
mp-18220;LiAlSiO4;['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Al', 'Al', 'Al', 'Al', 'Al', 'Al', 'Si', 'Si', 'Si', 'Si', 'Si', 'Si'];[1, 1, 1, 1, 1, 1, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
mp-4855;Li2SeO4;['Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Li', 'Se', 'Se', 'Se', 'Se', 'Se', 'Se'];[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 6, 6, 6, 6, 6, 6];['4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4']
mp-556754;Ti3O5;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3, 4, 4];['6', '6', '6', '6', '6', '6']
