mp-id;formula;structure_type;cations;valences;CNs;Connections depending on element, CN, and valence
mp-542877;Mn2O3;mp-542877;['Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn', 'Mn'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Mn': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 72, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:4': {'no': 384, 'corner': 96, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 384, 'corner': 96, 'edge': 0, 'face': 0}, 'CN2:4': {'no': 648, 'corner': 48, 'edge': 0, 'face': 0}}}}}}
mp-637224;Pu2O3;mp-542877;['Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu', 'Pu'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['5', '5', '5', '5', '5', '5', '5', '5', '6', '5', '5', '5', '5', '6', '6', '6'];{'Pu': {'val1:3': {'val2:3': {'CN1:5': {'CN2:5': {'no': 372, 'corner': 72, 'edge': 12, 'face': 0}, 'CN2:6': {'no': 192, 'corner': 72, 'edge': 24, 'face': 0}}, 'CN1:6': {'CN2:5': {'no': 192, 'corner': 72, 'edge': 24, 'face': 0}, 'CN2:6': {'no': 72, 'corner': 0, 'edge': 0, 'face': 0}}}}}}
mp-542313;Ce2O3;mp-542877;['Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce'];[3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3];['6', '6', '6', '6', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4', '4'];{'Ce': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 72, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:4': {'no': 192, 'corner': 96, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 192, 'corner': 96, 'edge': 0, 'face': 0}, 'CN2:4': {'no': 408, 'corner': 48, 'edge': 0, 'face': 0}}}}}}
mp-27273;Ti9O17;mp-27273;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Ti': {'val1:4': {'val2:4': {'CN1:6': {'CN2:6': {'no': 658, 'corner': 80, 'edge': 26, 'face': 0}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 348, 'corner': 60, 'edge': 16, 'face': 4}}}}, 'val1:3': {'val2:4': {'CN1:6': {'CN2:6': {'no': 348, 'corner': 60, 'edge': 16, 'face': 4}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 66, 'corner': 0, 'edge': 2, 'face': 0}}}}}}
mp-565758;V9O17;mp-27273;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 3, 4, 3, 4, 4, 4, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'V': {'val1:4': {'val2:4': {'CN1:6': {'CN2:6': {'no': 658, 'corner': 80, 'edge': 24, 'face': 4}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 336, 'corner': 56, 'edge': 20, 'face': 0}}}}, 'val1:3': {'val2:4': {'CN1:6': {'CN2:6': {'no': 336, 'corner': 56, 'edge': 20, 'face': 0}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 66, 'corner': 4, 'edge': 0, 'face': 0}}}}}}
mp-886;Ga2O3;mp-886;['Ga', 'Ga', 'Ga', 'Ga'];[3, 3, 3, 3];['6', '6', '4', '4'];{'Ga': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 76, 'corner': 0, 'edge': 8, 'face': 0}, 'CN2:4': {'no': 116, 'corner': 28, 'edge': 0, 'face': 0}}, 'CN1:4': {'CN2:6': {'no': 116, 'corner': 28, 'edge': 0, 'face': 0}, 'CN2:4': {'no': 76, 'corner': 4, 'edge': 0, 'face': 0}}}}}}
mp-7048;Al2O3;mp-886;['Al', 'Al', 'Al', 'Al'];[3, 3, 3, 3];['4', '4', '6', '6'];{'Al': {'val1:3': {'val2:3': {'CN1:4': {'CN2:4': {'no': 76, 'corner': 4, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 168, 'corner': 28, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:4': {'no': 168, 'corner': 28, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 82, 'corner': 0, 'edge': 8, 'face': 0}}}}}}
mp-556754;Ti3O5;mp-556754;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[3, 3, 3, 3, 4, 4];['6', '6', '6', '6', '6', '6'];{'Ti': {'val1:3': {'val2:3': {'CN1:6': {'CN2:6': {'no': 176, 'corner': 16, 'edge': 4, 'face': 4}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 160, 'corner': 24, 'edge': 16, 'face': 0}}}}, 'val1:4': {'val2:3': {'CN1:6': {'CN2:6': {'no': 160, 'corner': 24, 'edge': 16, 'face': 0}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 48, 'corner': 4, 'edge': 0, 'face': 0}}}}}}
mp-622497;V3O5;mp-556754;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 3, 3, 3, 3, 3, 4, 3, 3, 3];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'V': {'val1:4': {'val2:4': {'CN1:6': {'CN2:6': {'no': 72, 'corner': 8, 'edge': 4, 'face': 4}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 352, 'corner': 40, 'edge': 16, 'face': 0}}}}, 'val1:3': {'val2:4': {'CN1:6': {'CN2:6': {'no': 352, 'corner': 40, 'edge': 16, 'face': 0}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 328, 'corner': 40, 'edge': 20, 'face': 4}}}}}}
mp-698;U3O8;mp-698;['U', 'U', 'U'];[5, 5, 6];['7', '7', '6'];{'U': {'val1:5': {'val2:5': {'CN1:7': {'CN2:7': {'no': 42, 'corner': 6, 'edge': 4, 'face': 0}}}, 'val2:6': {'CN1:7': {'CN2:6': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:6': {'val2:5': {'CN1:7': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}}}, 'val2:6': {'CN1:6': {'CN2:6': {'no': 14, 'corner': 2, 'edge': 0, 'face': 0}}}}}}
mp-19066;W3O8;mp-698;['W', 'W', 'W'];[5, 5, 6];['7', '7', '6'];{'W': {'val1:5': {'val2:5': {'CN1:7': {'CN2:7': {'no': 62, 'corner': 6, 'edge': 4, 'face': 0}}}, 'val2:6': {'CN1:7': {'CN2:6': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}}}, 'val1:6': {'val2:5': {'CN1:7': {'CN2:6': {'no': 0, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:6': {'CN2:7': {'no': 36, 'corner': 8, 'edge': 4, 'face': 0}}}, 'val2:6': {'CN1:6': {'CN2:6': {'no': 20, 'corner': 2, 'edge': 0, 'face': 0}}}}}}
mp-23261;I2O5;mp-23261;['I', 'I', 'I', 'I', 'I', 'I', 'I', 'I'];[5, 5, 5, 5, 5, 5, 5, 5];['5', '5', '5', '5', '6', '6', '6', '6'];{'I': {'val1:5': {'val2:5': {'CN1:5': {'CN2:5': {'no': 48, 'corner': 8, 'edge': 0, 'face': 0}, 'CN2:6': {'no': 128, 'corner': 16, 'edge': 8, 'face': 0}}, 'CN1:6': {'CN2:5': {'no': 128, 'corner': 16, 'edge': 8, 'face': 0}, 'CN2:6': {'no': 48, 'corner': 8, 'edge': 4, 'face': 0}}}}}}
mp-505619;Ce11O20;mp-505619;['Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce', 'Ce'];[4, 3, 3, 4, 4, 3, 3, 4, 4, 4, 4];['8', '8', '8', '7', '7', '7', '7', '7', '7', '7', '7'];{'Ce': {'val1:4': {'val2:4': {'CN1:8': {'CN2:8': {'no': 4, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:7': {'no': 36, 'corner': 0, 'edge': 20, 'face': 0}}, 'CN1:7': {'CN2:8': {'no': 36, 'corner': 0, 'edge': 20, 'face': 0}, 'CN2:7': {'no': 126, 'corner': 12, 'edge': 26, 'face': 0}}}, 'val2:3': {'CN1:8': {'CN2:8': {'no': 16, 'corner': 0, 'edge': 4, 'face': 0}, 'CN2:7': {'no': 24, 'corner': 0, 'edge': 0, 'face': 0}}, 'CN1:7': {'CN2:8': {'no': 92, 'corner': 0, 'edge': 24, 'face': 0}, 'CN2:7': {'no': 96, 'corner': 12, 'edge': 12, 'face': 0}}}}, 'val1:3': {'val2:4': {'CN1:8': {'CN2:8': {'no': 16, 'corner': 0, 'edge': 4, 'face': 0}, 'CN2:7': {'no': 92, 'corner': 0, 'edge': 24, 'face': 0}}, 'CN1:7': {'CN2:8': {'no': 24, 'corner': 0, 'edge': 0, 'face': 0}, 'CN2:7': {'no': 96, 'corner': 12, 'edge': 12, 'face': 0}}}, 'val2:3': {'CN1:8': {'CN2:8': {'no': 16, 'corner': 0, 'edge': 2, 'face': 0}, 'CN2:7': {'no': 20, 'corner': 0, 'edge': 16, 'face': 0}}, 'CN1:7': {'CN2:8': {'no': 20, 'corner': 0, 'edge': 16, 'face': 0}, 'CN2:7': {'no': 12, 'corner': 0, 'edge': 4, 'face': 0}}}}}}
mp-748;Ti5O9;mp-748;['Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti', 'Ti'];[4, 4, 4, 4, 3, 3, 3, 3, 4, 4];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Ti': {'val1:4': {'val2:4': {'CN1:6': {'CN2:6': {'no': 216, 'corner': 24, 'edge': 4, 'face': 4}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 288, 'corner': 40, 'edge': 24, 'face': 0}}}}, 'val1:3': {'val2:4': {'CN1:6': {'CN2:6': {'no': 288, 'corner': 40, 'edge': 24, 'face': 0}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 100, 'corner': 12, 'edge': 0, 'face': 0}}}}}}
mp-706490;Mo9O26;mp-706490;['Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo', 'Mo'];[6, 5, 6, 6, 6, 5, 6, 6, 5, 5, 6, 6, 6, 6, 6, 5, 6, 6, 6, 6, 6, 6, 5, 6, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Mo': {'val1:6': {'val2:6': {'CN1:6': {'CN2:6': {'no': 590, 'corner': 116, 'edge': 24, 'face': 0}}}, 'val2:5': {'CN1:6': {'CN2:6': {'no': 320, 'corner': 56, 'edge': 0, 'face': 0}}}}, 'val1:5': {'val2:6': {'CN1:6': {'CN2:6': {'no': 320, 'corner': 56, 'edge': 0, 'face': 0}}}, 'val2:5': {'CN1:6': {'CN2:6': {'no': 40, 'corner': 20, 'edge': 0, 'face': 0}}}}}}
mp-510127;V6O11;mp-510127;['V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V', 'V'];[4, 4, 4, 4, 3, 3, 3, 3, 4, 4, 4, 4];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'V': {'val1:4': {'val2:4': {'CN1:6': {'CN2:6': {'no': 336, 'corner': 28, 'edge': 18, 'face': 4}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 300, 'corner': 64, 'edge': 8, 'face': 0}}}}, 'val1:3': {'val2:4': {'CN1:6': {'CN2:6': {'no': 300, 'corner': 64, 'edge': 8, 'face': 0}}}, 'val2:3': {'CN1:6': {'CN2:6': {'no': 92, 'corner': 0, 'edge': 6, 'face': 0}}}}}}
mp-1470;Nb12O29;mp-1470;['Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb', 'Nb'];[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 4, 4, 4, 4, 5, 5, 5, 5];['6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6', '6'];{'Nb': {'val1:5': {'val2:5': {'CN1:6': {'CN2:6': {'no': 596, 'corner': 84, 'edge': 36, 'face': 0}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 192, 'corner': 24, 'edge': 24, 'face': 0}}}}, 'val1:4': {'val2:5': {'CN1:6': {'CN2:6': {'no': 192, 'corner': 24, 'edge': 24, 'face': 0}}}, 'val2:4': {'CN1:6': {'CN2:6': {'no': 36, 'corner': 8, 'edge': 0, 'face': 0}}}}}}
